,Title of each class,Title of each class,Title of each class,"Trading
Symbol(s)","Trading
Symbol(s)","Trading
Symbol(s)",Name of each exchange on which registered,Name of each exchange on which registered,Name of each exchange on which registered
,"Class A Common Stock, par value $0.001 per share",,,PLTR,,,The Nasdaq Stock Market LLC,,
