,"Years Ended December 31,","Years Ended December 31,","Years Ended December 31,","Years Ended December 31,","Years Ended December 31,","Years Ended December 31,","Years Ended December 31,"
,2024,,,,,2023,
"('', '')",,,,,,,
Income from operations,"$310,403",,,,,"$119,966",
Add: stock-based compensation,691638.0,,,,,475903.0,
Add: employer payroll taxes related to stock-based compensation,126021.0,,,,,36907.0,
Adjusted income from operations,"$1,128,062",,,,,"$632,776",
Adjusted operating margin,39.0,%,,,,28.0,%
