"symbol","cik","exchange","industry","sector"
"CLPT","0001285550","NASDAQ","Medical - Devices","Healthcare"
"SPRY","0001671858","NASDAQ","Biotechnology","Healthcare"
"KAVL","0001762239","NASDAQ","Tobacco","Consumer Defensive"
"VLO","0001035002","NYSE","Oil & Gas Refining & Marketing","Energy"
"SMLR","0001554859","NASDAQ","Medical - Devices","Healthcare"
"SWBI","0001092796","NASDAQ","Aerospace & Defense","Industrials"
"CRWD","0001535527","NASDAQ","Software - Infrastructure","Technology"
"KDK","0001853138","NASDAQ","Software - Application","Technology"
"USCB","0001901637","NASDAQ","Banks - Regional","Financial Services"
"WFCF","0001360565","NASDAQ","Software - Application","Technology"
"MTEK","0001872964","NASDAQ","Hardware, Equipment & Parts","Technology"
"HCHL","0002046656","NASDAQ","Restaurants","Consumer Cyclical"
"TIMB","0001826168","NYSE","Telecommunications Services","Communication Services"
"SATA","0001920406","NASDAQ","Asset Management","Financial Services"
"CAH","0000721371","NYSE","Medical - Distribution","Healthcare"
"ZURA","0001855644","NASDAQ","Biotechnology","Healthcare"
"MAMK","0002008007","NASDAQ","Apparel - Footwear & Accessories","Consumer Cyclical"
"LSAK","0001041514","NASDAQ","Software - Infrastructure","Technology"
"CPNG","0001834584","NYSE","Specialty Retail","Consumer Cyclical"
"L","0000060086","NYSE","Insurance - Property & Casualty","Financial Services"
"DEVS","0001854480","NASDAQ","Industrial - Pollution & Treatment Controls","Industrials"
"FIGXW","0002059033","NASDAQ","Shell Companies","Financial Services"
"LAB","0001162194","NASDAQ","Medical - Devices","Healthcare"
"LPBB","0002023676","NASDAQ","Shell Companies","Financial Services"
"SRTA","0001779128","NASDAQ","Airlines, Airports & Air Services","Industrials"
"NNDM","0001643303","NASDAQ","Computer Hardware","Technology"
"QRVO","0001604778","NASDAQ","Semiconductors","Technology"
"ALCO","0000003545","NASDAQ","Agricultural Farm Products","Consumer Defensive"
"FSHP","0001850059","NASDAQ","Shell Companies","Financial Services"
"ADIL","0001513525","NASDAQ","Biotechnology","Healthcare"
"TSN","0000100493","NYSE","Agricultural Farm Products","Consumer Defensive"
"VRSN","0001014473","NASDAQ","Software - Infrastructure","Technology"
"ANEB","0001815974","NASDAQ","Biotechnology","Healthcare"
"WPM","0001323404","NYSE","Gold","Basic Materials"
"PSA","0001393311","NYSE","REIT - Industrial","Real Estate"
"PERI","0001338940","NASDAQ","Internet Content & Information","Communication Services"
"AQNB","0001174169","NYSE","Regulated Electric","Utilities"
"NBIS","0001513845","NASDAQ","Internet Content & Information","Communication Services"
"BYNO","0001801417","NASDAQ","Shell Companies","Financial Services"
"VG","0002007855","NYSE","Oil & Gas Midstream","Energy"
"GDRX","0001809519","NASDAQ","Medical - Healthcare Information Services","Healthcare"
"EM","0001834253","NASDAQ","Personal Products & Services","Consumer Cyclical"
"ADC","0000917251","NYSE","REIT - Retail","Real Estate"
"TRUE","0001327318","NASDAQ","Internet Content & Information","Communication Services"
"GSIT","0001126741","NASDAQ","Semiconductors","Technology"
"OSK","0000775158","NYSE","Agricultural - Machinery","Industrials"
"NPCE","0001528287","NASDAQ","Medical - Devices","Healthcare"
"ADUR","0001863934","NASDAQ","Chemicals - Specialty","Basic Materials"
"LW","0001679273","NYSE","Packaged Foods","Consumer Defensive"
"LGHL","0001806524","NASDAQ","Financial - Capital Markets","Financial Services"
"RZLV","0001920294","NASDAQ","Software - Infrastructure","Technology"
"HIMS","0001773751","NYSE","Medical - Equipment & Services","Healthcare"
"LWAY","0000814586","NASDAQ","Packaged Foods","Consumer Defensive"
"AVT","0000008858","NASDAQ","Technology Distributors","Technology"
"AWI","0000007431","NYSE","Construction","Industrials"
"FTLF","0001374328","NASDAQ","Packaged Foods","Consumer Defensive"
"LENZ","0001815776","NASDAQ","Biotechnology","Healthcare"
"BRY","0001705873","NASDAQ","Oil & Gas Exploration & Production","Energy"
"PKBK","0001315399","NASDAQ","Banks - Regional","Financial Services"
"WGS","0001818331","NASDAQ","Medical - Healthcare Information Services","Healthcare"
"AVTR","0001722482","NYSE","Medical - Instruments & Supplies","Healthcare"
"GIWWU","0002080019","NASDAQ","Asset Management","Financial Services"
"GWRS","0001434728","NASDAQ","Regulated Water","Utilities"
"LH","0000920148","NYSE","Medical - Equipment & Services","Healthcare"
"QS","0001811414","NYSE","Auto - Parts","Consumer Cyclical"
"INV","0002001557","NASDAQ","Asset Management","Financial Services"
"WB","0001595761","NASDAQ","Internet Content & Information","Communication Services"
"AUTL","0001730463","NASDAQ","Biotechnology","Healthcare"
"IONR","0001896084","NASDAQ","Industrial Materials","Basic Materials"
"VLRS","0001520504","NYSE","Airlines, Airports & Air Services","Industrials"
"SXTC","0001723980","NASDAQ","Drug Manufacturers - Specialty & Generic","Healthcare"
"SUN","0001552275","NYSE","Oil & Gas Refining & Marketing","Energy"
"USARW","0001787434","NASDAQ","Industrial Materials","Basic Materials"
"TONX","0001566610","NASDAQ","Asset Management","Financial Services"
"TLNCU","0002073340","NASDAQ","Asset Management","Financial Services"
"XCH","0001979887","NASDAQ","Industrial - Machinery","Industrials"
"FRMI","0002071778","NASDAQ","Regulated Electric","Utilities"
"GWW","0000277135","NYSE","Industrial - Distribution","Industrials"
"ADXN","0001574232","NASDAQ","Biotechnology","Healthcare"
"MNPR","0001645469","NASDAQ","Biotechnology","Healthcare"
"NVAWW","0001852551","NASDAQ","Gold","Basic Materials"
"PLUT","0001933021","NASDAQ","Financial - Capital Markets","Financial Services"
"BHP","0000811809","NYSE","Industrial Materials","Basic Materials"
"FINV","0001691445","NYSE","Financial - Credit Services","Financial Services"
"NAGE","0000851773","NASDAQ","Biotechnology","Healthcare"
"OXY","0000797468","NYSE","Oil & Gas Exploration & Production","Energy"
"DSGN","0001807120","NASDAQ","Biotechnology","Healthcare"
"PGAC","0002030829","NASDAQ","Shell Companies","Financial Services"
"AGL","0001831097","NYSE","Medical - Care Facilities","Healthcare"
"CCI","0001051470","NYSE","REIT - Specialty","Real Estate"
"KFRC","0000930420","NASDAQ","Staffing & Employment Services","Industrials"
"ZS","0001713683","NASDAQ","Software - Infrastructure","Technology"
"DNA","0001830214","NYSE","Biotechnology","Healthcare"
"HVMC","0002070602","NASDAQ","Banks","Financial Services"
"LOVE","0001701758","NASDAQ","Furnishings, Fixtures & Appliances","Consumer Cyclical"
"LSTR","0000853816","NASDAQ","Integrated Freight & Logistics","Industrials"
"LTBR","0001084554","NASDAQ","Electrical Equipment & Parts","Industrials"
"INTR","0001864163","NASDAQ","Banks - Regional","Financial Services"
"CTRE","0001590717","NYSE","REIT - Healthcare Facilities","Real Estate"
"TBB","0000732717","NYSE","Telecommunications Services","Communication Services"
"AIRJ","0001855474","NASDAQ","Electrical Equipment & Parts","Industrials"
"WELL","0000766704","NYSE","REIT - Healthcare Facilities","Real Estate"
"FLNC","0001868941","NASDAQ","Renewable Utilities","Utilities"
"COFS","0000803164","NASDAQ","Banks - Regional","Financial Services"
"ZK","0001954042","NYSE","Auto - Manufacturers","Consumer Cyclical"
"SOMN","0000092122","NYSE","Regulated Electric","Utilities"
"MDT","0001613103","NYSE","Medical - Devices","Healthcare"
"CAN","0001780652","NASDAQ","Computer Hardware","Technology"
"SYK","0000310764","NYSE","Medical - Devices","Healthcare"
"BEPH","0001533232","NYSE","Real Estate - Development","Real Estate"
"BRKR","0001109354","NASDAQ","Medical - Devices","Healthcare"
"SPOT","0001639920","NYSE","Internet Content & Information","Communication Services"
"BZAIW","0001821788","NASDAQ","Software - Application","Technology"
"VLY","0000714310","NASDAQ","Banks - Regional","Financial Services"
"BBD","0001160330","NYSE","Banks - Regional","Financial Services"
"FDBC","0001098151","NASDAQ","Banks - Regional","Financial Services"
"MNTK","0001826600","NASDAQ","Diversified Utilities","Utilities"
"DJT","0001849635","NASDAQ","Internet Content & Information","Communication Services"
"MKTX","0001278021","NASDAQ","Financial - Capital Markets","Financial Services"
"ENTA","0001177648","NASDAQ","Biotechnology","Healthcare"
"NAMI","0001967631","NASDAQ","Internet Content & Information","Communication Services"
"GTLB","0001653482","NASDAQ","Software - Application","Technology"
"GLBE","0001835963","NASDAQ","Specialty Retail","Consumer Cyclical"
"WTF","0001987363","NASDAQ","Asset Management","Financial Services"
"TEM","0001717115","NASDAQ","Medical - Healthcare Information Services","Healthcare"
"SOUN","0001840856","NASDAQ","Software - Application","Technology"
"TFSL","0001381668","NASDAQ","Banks - Regional","Financial Services"
"EXEL","0000939767","NASDAQ","Biotechnology","Healthcare"
"PEW-WT","0002051380","NYSE","Industrial - Infrastructure Operations","Industrials"
"WING","0001636222","NASDAQ","Restaurants","Consumer Cyclical"
"UNP","0000100885","NYSE","Railroads","Industrials"
"PRTC","0001782999","NASDAQ","Biotechnology","Healthcare"
"RYTM","0001649904","NASDAQ","Biotechnology","Healthcare"
"ZBRA","0000877212","NASDAQ","Communication Equipment","Technology"
"AUGO","0001468642","NASDAQ","Other Precious Metals","Basic Materials"
"SHMD","0001987240","NASDAQ","Industrial - Machinery","Industrials"
"MGRB","0001004434","NYSE","Investment - Banking & Investment Services","Financial Services"
"WSFS","0000828944","NASDAQ","Banks - Regional","Financial Services"
"SKYE","0001516551","NASDAQ","Biotechnology","Healthcare"
"MIDD","0000769520","NASDAQ","Industrial - Machinery","Industrials"
"ENLT","0001922641","NASDAQ","Renewable Utilities","Utilities"
"NNNN","0001982708","NASDAQ","Medical - Instruments & Supplies","Healthcare"
"MCW","0001853513","NASDAQ","Personal Products & Services","Consumer Cyclical"
"BJ","0001531152","NYSE","Discount Stores","Consumer Defensive"
"GCT","0001857816","NASDAQ","Software - Infrastructure","Technology"
"LIN","0001707925","NASDAQ","Chemicals - Specialty","Basic Materials"
"AKRO","0001744659","NASDAQ","Biotechnology","Healthcare"
"SBRA","0001492298","NASDAQ","REIT - Healthcare Facilities","Real Estate"
"SOFI","0001818874","NASDAQ","Financial - Credit Services","Financial Services"
"CCEC","0001392326","NASDAQ","Marine Shipping","Industrials"
"HSDT","0001610853","NASDAQ","Medical - Devices","Healthcare"
"KHC","0001637459","NASDAQ","Packaged Foods","Consumer Defensive"
"BULL","0001866364","NASDAQ","Software - Application","Technology"
"CTBI","0000350852","NASDAQ","Banks - Regional","Financial Services"
"RDDT","0001713445","NYSE","Internet Content & Information","Communication Services"
"HRB","0000012659","NYSE","Personal Products & Services","Consumer Cyclical"
"ALAB","0001736297","NASDAQ","Semiconductors","Technology"
"LAUR","0000912766","NASDAQ","Education & Training Services","Consumer Defensive"
"BDCI","0002042292","NASDAQ","Asset Management","Financial Services"
"SEV","0001786471","NASDAQ","Auto - Manufacturers","Consumer Cyclical"
"OPCH","0001014739","NASDAQ","Medical - Care Facilities","Healthcare"
"SOBO","0002019061","NYSE","Oil & Gas Midstream","Energy"
"EQ","0001746466","NASDAQ","Biotechnology","Healthcare"
"IRON","0001816736","NASDAQ","Biotechnology","Healthcare"
"BHF","0001685040","NASDAQ","Insurance - Life","Financial Services"
"RITM","0001556593","NYSE","REIT - Mortgage","Real Estate"
"MARA","0001507605","NASDAQ","Financial - Capital Markets","Financial Services"
"SWX","0001692115","NYSE","Regulated Gas","Utilities"
"PCRX","0001396814","NASDAQ","Drug Manufacturers - Specialty & Generic","Healthcare"
"MBX","0001776111","NASDAQ","Biotechnology","Healthcare"
"RLAY","0001812364","NASDAQ","Biotechnology","Healthcare"
"AGYS","0000078749","NASDAQ","Software - Application","Technology"
"RUN","0001469367","NASDAQ","Solar","Energy"
"CTHR","0001015155","NASDAQ","Luxury Goods","Consumer Cyclical"
"EVRG","0001711269","NASDAQ","Regulated Electric","Utilities"
"LNT","0000352541","NASDAQ","Regulated Electric","Utilities"
"LLYVK","0001560385","NASDAQ","Entertainment","Communication Services"
"KNSA","0001730430","NASDAQ","Biotechnology","Healthcare"
"LITE","0001633978","NASDAQ","Communication Equipment","Technology"
"RIVN","0001874178","NASDAQ","Auto - Manufacturers","Consumer Cyclical"
"RIOT","0001167419","NASDAQ","Financial - Capital Markets","Financial Services"
"LQDA","0001819576","NASDAQ","Biotechnology","Healthcare"
"ACVA","0001637873","NASDAQ","Auto - Dealerships","Consumer Cyclical"
"IMVT","0001764013","NASDAQ","Biotechnology","Healthcare"
"VFF","0001584549","NASDAQ","Agricultural Farm Products","Consumer Defensive"
"MRCY","0001049521","NASDAQ","Aerospace & Defense","Industrials"
"JRVR","0001620459","NASDAQ","Insurance - Specialty","Financial Services"
"HUT","0001964789","NASDAQ","Financial - Capital Markets","Financial Services"
"OSIS","0001039065","NASDAQ","Hardware, Equipment & Parts","Technology"
"GCMG","0001819796","NASDAQ","Asset Management","Financial Services"
"OBDC","0001655888","NYSE","Financial - Credit Services","Financial Services"
"TPG","0001880661","NASDAQ","Asset Management","Financial Services"
"TTGT","0001293282","NASDAQ","Internet Content & Information","Communication Services"
"POCI","0000867840","NASDAQ","Medical - Instruments & Supplies","Healthcare"
"JHG","0001274173","NYSE","Asset Management","Financial Services"
"LNZA","0001843724","NASDAQ","Waste Management","Industrials"
"CEPT","0002034269","NASDAQ","Shell Companies","Financial Services"
"SY","0001758530","NASDAQ","Medical - Healthcare Information Services","Healthcare"
"BOOT","0001610250","NYSE","Apparel - Retail","Consumer Cyclical"
"ATXG","0001650101","NASDAQ","Integrated Freight & Logistics","Industrials"
"CLIK","0002020027","NASDAQ","Staffing & Employment Services","Industrials"
"SYRE","0001636282","NASDAQ","Biotechnology","Healthcare"
"MTLS","0001091223","NASDAQ","Software - Application","Technology"
"PLRZ","0001893645","NASDAQ","Biotechnology","Healthcare"
"PLXS","0000785786","NASDAQ","Hardware, Equipment & Parts","Technology"
"JEM","0002018222","NASDAQ","Apparel - Retail","Consumer Cyclical"
"FCN","0000887936","NYSE","Consulting Services","Industrials"
"BLZR","0002075310","NASDAQ","Asset Management","Financial Services"
"RELX","0000929869","NYSE","Publishing","Communication Services"
"AMRN","0000897448","NASDAQ","Biotechnology","Healthcare"
"GFS","0001709048","NASDAQ","Semiconductors","Technology"
"TFPM","0001829726","NYSE","Other Precious Metals","Basic Materials"
"VIST","0001762506","NYSE","Oil & Gas Exploration & Production","Energy"
"MEOH","0000886977","NASDAQ","Chemicals","Basic Materials"
"MLYS","0001933414","NASDAQ","Biotechnology","Healthcare"
"PNC","0000713676","NYSE","Banks - Regional","Financial Services"
"LGND","0000886163","NASDAQ","Biotechnology","Healthcare"
"EMR","0000032604","NYSE","Industrial - Machinery","Industrials"
"INFY","0001067491","NYSE","Information Technology Services","Technology"
"ASTH","0001083446","NASDAQ","Medical - Care Facilities","Healthcare"
"MBVI","0002073928","NASDAQ","Asset Management","Financial Services"
"PPTA","0001526243","NASDAQ","Other Precious Metals","Basic Materials"
"RUM","0001830081","NASDAQ","Software - Application","Technology"
"RAL","0002041385","NYSE","Aerospace & Defense","Industrials"
"BIPC","0001788348","NYSE","Regulated Gas","Utilities"
"PRTA","0001559053","NASDAQ","Biotechnology","Healthcare"
"PENN","0000921738","NASDAQ","Gambling, Resorts & Casinos","Consumer Cyclical"
"MYNZ","0001874252","NASDAQ","Medical - Diagnostics & Research","Healthcare"
"LMND","0001691421","NYSE","Insurance - Property & Casualty","Financial Services"
"BLLN","0002070849","NASDAQ","Medical - Diagnostics & Research","Healthcare"
"ESQ","0001531031","NASDAQ","Banks - Regional","Financial Services"
"GTX","0001735707","NASDAQ","Auto - Parts","Consumer Cyclical"
"CUBWU","0002015955","NASDAQ","Shell Companies","Financial Services"
"RIGL","0001034842","NASDAQ","Biotechnology","Healthcare"
"PYPL","0001633917","NASDAQ","Financial - Credit Services","Financial Services"
"SAIL","0001627857","NASDAQ","Software - Infrastructure","Technology"
"SLDE","0001886428","NASDAQ","Insurance - Property & Casualty","Financial Services"
"COPL","0002045473","NYSE","Shell Companies","Financial Services"
"EU","0001500881","NASDAQ","Uranium","Energy"
"BNZI","0001826011","NASDAQ","Software - Application","Technology"
"PLBL","0002035697","NASDAQ","Department Stores","Consumer Cyclical"
"ATLC","0001464343","NASDAQ","Financial - Credit Services","Financial Services"
"MU","0000723125","NASDAQ","Semiconductors","Technology"
"BL","0001666134","NASDAQ","Software - Application","Technology"
"FARM","0000034563","NASDAQ","Packaged Foods","Consumer Defensive"
"IBEX","0001720420","NASDAQ","Information Technology Services","Technology"
"NPWR","0001845437","NYSE","Industrial - Machinery","Industrials"
"STNE","0001745431","NASDAQ","Software - Infrastructure","Technology"
"GPJA","0000041091","NYSE","Regulated Electric","Utilities"
"AIOT","0001774170","NASDAQ","Communication Equipment","Technology"
"GDEV","0001848739","NASDAQ","Electronic Gaming & Multimedia","Technology"
"VSEE","0001864531","NASDAQ","Medical - Healthcare Information Services","Healthcare"
"BMBL","0001830043","NASDAQ","Software - Application","Technology"
"LMB","0001606163","NASDAQ","Engineering & Construction","Industrials"
"EGO","0000918608","NYSE","Gold","Basic Materials"
"MQ","0001522540","NASDAQ","Software - Infrastructure","Technology"
"MSI","0000068505","NYSE","Communication Equipment","Technology"
"TTD","0001671933","NASDAQ","Software - Application","Technology"
"UPWK","0001627475","NASDAQ","Staffing & Employment Services","Industrials"
"VSEC","0000102752","NASDAQ","Aerospace & Defense","Industrials"
"GCBC","0001070524","NASDAQ","Banks - Regional","Financial Services"
"LOAR","0002000178","NYSE","Aerospace & Defense","Industrials"
"AKBA","0001517022","NASDAQ","Biotechnology","Healthcare"
"SONO","0001314727","NASDAQ","Consumer Electronics","Technology"
"QSI","0001816431","NASDAQ","Biotechnology","Healthcare"
"PXLW","0001040161","NASDAQ","Semiconductors","Technology"
"EYE","0001710155","NASDAQ","Specialty Retail","Consumer Cyclical"
"WEN","0000030697","NASDAQ","Restaurants","Consumer Cyclical"
"TRUP","0001371285","NASDAQ","Insurance - Specialty","Financial Services"
